,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
89,ENSG00000129071,MBD4,0.59,6e-01,-2.58,1e-04,-0.88,7e-01,0.99,2e-02,0.53,6e-01,-2.06,1e-02,0.14,1e+00,-3.62,3e-01,0.07,1e+00
90,ENSG00000168297,PXK,0.59,7e-01,-3.36,9e-07,-1.23,3e-01,1.09,6e-03,0.58,6e-01,-2.65,6e-04,0.33,1e+00,-4.51,3e-01,0.09,1e+00
91,ENSG00000070961,ATP2B1,0.59,6e-01,-1.80,1e-02,-0.30,1e+00,0.75,2e-01,0.80,4e-01,-0.82,7e-01,0.11,1e+00,-3.59,3e-01,-0.42,7e-01
92,ENSG00000231389,HLA-DPA1,0.58,7e-01,-4.19,3e-10,1.26,2e-02,0.35,8e-01,-1.24,6e-01,-2.79,1e-04,0.69,1e+00,-4.00,3e-01,-0.31,8e-01
93,ENSG00000198106,SNX29P2,0.58,7e-01,-3.40,2e-07,-0.71,9e-01,1.02,1e-02,0.93,3e-01,-2.57,6e-04,0.17,1e+00,-4.03,3e-01,-0.09,1e+00
94,ENSG00000198408,MGEA5,0.57,7e-01,-0.89,4e-01,-0.81,8e-01,0.46,7e-01,1.61,6e-02,-0.62,9e-01,-0.18,1e+00,-3.56,3e-01,-0.45,7e-01
95,ENSG00000004534,RBM6,0.57,7e-01,-1.26,1e-01,-0.38,1e+00,0.42,7e-01,1.55,8e-02,-0.94,5e-01,-0.35,1e+00,-2.37,5e-01,-0.18,1e+00
96,ENSG00000146247,PHIP,0.57,7e-01,-0.62,7e-01,-0.29,1e+00,0.07,1e+00,1.44,1e-01,-0.38,1e+00,-0.51,1e+00,-2.55,5e-01,-0.09,1e+00
97,ENSG00000163683,SMIM14,0.56,7e-01,-4.40,3e-10,-0.84,7e-01,1.47,3e-05,-1.03,7e-01,-3.60,2e-06,0.88,1e+00,-3.49,3e-01,-0.65,4e-01
98,ENSG00000012124,CD22,0.55,7e-01,-5.27,7e-12,0.24,1e+00,0.81,1e-01,1.01,3e-01,-3.50,7e-06,-0.00,1e+00,-3.71,3e-01,-0.01,1e+00
99,ENSG00000257621,RP11-349A22.5,0.54,7e-01,-0.26,1e+00,-0.22,1e+00,0.13,1e+00,1.41,1e-01,0.06,1e+00,-0.28,1e+00,-3.76,3e-01,-0.83,2e-01
100,ENSG00000143119,CD53,0.53,8e-01,-1.32,1e-01,-0.30,1e+00,0.76,1e-01,-0.19,1e+00,-0.94,5e-01,0.37,1e+00,-4.11,3e-01,-0.23,1e+00
101,ENSG00000223865,HLA-DPB1,0.51,8e-01,-4.17,4e-10,1.16,5e-02,0.51,6e-01,-1.37,5e-01,-3.10,2e-05,0.88,1e+00,-3.51,3e-01,-0.49,6e-01
102,ENSG00000179344,HLA-DQB1,0.49,8e-01,-5.01,7e-13,0.80,4e-01,0.68,2e-01,-0.81,9e-01,-3.63,9e-07,0.67,1e+00,-4.49,3e-01,-0.10,1e+00
103,ENSG00000115524,SF3B1,0.49,8e-01,-0.33,1e+00,-0.21,1e+00,0.01,1e+00,1.35,1e-01,-0.09,1e+00,-0.37,1e+00,-3.44,3e-01,-0.30,9e-01
104,ENSG00000007312,CD79B,0.49,8e-01,-4.90,2e-12,-0.03,1e+00,1.07,8e-03,-0.54,1e+00,-3.01,4e-05,0.47,1e+00,-3.97,3e-01,0.02,1e+00
